#Initial positions of each person
T0_FaL
T0_FxL
T0_ChL
T0_GrL

#Position of each person at a particular time 
T0_FaL T0_FaR
-T5_mv_Ch_LR T6_FxL
-T5_mv_Ch_LR T5_GrL
-T5_mv_Ch_LR T6_GrL
-T5_mv_Ch_RL T5_FxR
-T5_mv_Ch_RL T6_FxR
-T5_mv_Ch_RL T5_GrR
-T5_mv_Ch_RL T6_GrR
-T5_mv_Gr_LR T5_FxL
-T5_mv_Gr_LR T6_FxL
-T5_mv_Gr_LR T5_ChL
-T5_mv_Gr_LR T6_ChL
-T5_mv_Gr_RL T5_FxR
-T5_mv_Gr_RL T6_FxR
-T5_mv_Gr_RL T5_ChR
-T5_mv_Gr_RL T6_ChR
-T6_mv_no_LR T6_FxL
-T6_mv_no_LR T7_FxL
-T6_mv_no_LR T6_ChL
-T6_mv_no_LR T7_ChL
-T6_mv_no_LR T6_GrL
-T6_mv_no_LR T7_GrL
-T6_mv_no_RL T6_FxR
-T6_mv_no_RL T7_FxR
-T6_mv_no_RL T6_ChR
-T6_mv_no_RL T7_ChR
-T6_mv_no_RL T6_GrR
-T6_mv_no_RL T7_GrR
-T6_mv_Fx_LR T6_ChL
-T6_mv_Fx_LR T7_ChL
-T6_mv_Fx_LR T6_GrL
-T6_mv_Fx_LR T7_GrL
-T6_mv_Fx_RL T6_ChR
-T6_mv_Fx_RL T7_ChR
-T6_mv_Fx_RL T6_GrR
-T6_mv_Fx_RL T7_GrR
-T6_mv_Ch_LR T6_FxL
-T6_mv_Ch_LR T7_FxL
-T6_mv_Ch_LR T6_GrL
-T6_mv_Ch_LR T7_GrL
-T6_mv_Ch_RL T6_FxR
-T6_mv_Ch_RL T7_FxR
-T6_mv_Ch_RL T6_GrR
-T6_mv_Ch_RL T7_GrR
-T6_mv_Gr_LR T6_FxL
-T6_mv_Gr_LR T7_FxL
-T6_mv_Gr_LR T6_ChL
-T6_mv_Gr_LR T7_ChL
-T6_mv_Gr_RL T6_FxR
-T6_mv_Gr_RL T7_FxR
-T6_mv_Gr_RL T6_ChR
-T6_mv_Gr_RL T7_ChR



#goal state
T7_FaR
T7_FxR
T7_ChR
T7_GrR
